array_id,avg_samp_frac,true_corr_uz1,true_corr_z1z2,is_u_latent,true_mean_y,n_sim,pop_size,seed,true_log_or_samp_z2,true_log_or_samp_y,true_baseline_log_odds_samp
127,0.05,0.75,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
128,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0.1,NA
129,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
130,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0.5,NA
131,0.05,0.75,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
132,0.05,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
133,0.05,0.75,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
134,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0,NA
135,0.25,0.75,1,FALSE,0,167,1e4,NA,0.1,0,NA
136,0.25,0.75,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
137,0.25,0.75,1,FALSE,0,167,1e4,NA,0.5,0,NA
138,0.25,0.75,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
139,0.25,0.75,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
140,0.25,0.75,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
141,0.25,0.75,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
142,0.25,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
143,0.25,0.75,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
144,0.25,0.75,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
145,0.25,0.75,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
146,0.25,0.75,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
147,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0.1,NA
148,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
149,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0.5,NA
150,0.25,0.75,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
151,0.25,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
152,0.25,0.75,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
