FINALVOTE_STATE_WEIGHT,state,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other,lib,noideo,demparty
0.1060159201,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.5803369177,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.1813795432,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1.1176672877,AZ,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0.1021237513,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0.8944691721,AZ,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4.0353536731,AZ,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.8922793409,AZ,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0.2497984245,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.3426927119,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0.3413068205,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
0.9106976739,AZ,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.139295941,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.8724030663,AZ,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.5246511139,AZ,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.5108930736,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.5153482278,AZ,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
0.9502730377,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.0598383348,AZ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
0.1032334609,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.7426053282,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1.7862366486,AZ,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.2712212745,AZ,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
0.3520864217,AZ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.5329131876,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.4322474646,AZ,0,,,,,,,0,1,0,0,1,0,0,0,0,0,0
1.1951409307,AZ,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
0.1503745468,AZ,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
0.1474705407,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.285584854,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.6854203993,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0.7975219564,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0.5391058332,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
0.2298347323,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1.4286762343,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2.2559988279,AZ,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.216142239,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
3.6111394495,AZ,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1.3924561985,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1.8659031085,AZ,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0.2984023751,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2.0618338589,AZ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0.2719817018,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0.4975895061,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.2192748183,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
3.2834082946,AZ,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
2.4112922263,AZ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.0586416299,AZ,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0.1032334609,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
1.344277783,AZ,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
0.0770596998,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
4.0108030861,AZ,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
3.6381533635,AZ,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3.0438060763,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.6068989625,AZ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3.1872133616,AZ,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0.1021237513,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0.0694960073,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.9558306475,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.2192372789,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
