type,state,variable,level,likely,Frequency,WgtFreq,pct,pctSE,pctLB,pctUB
ABC Unweighted,NC,other,0,1,608,,0.9589905363,0.0078820731,0.9435129586,0.974468114
ABC Unweighted,NC,other,1,1,26,,0.0410094637,0.0078820731,0.025531886,0.0564870414
ABC Unweighted,NC,lib,0,1,499,,0.7870662461,0.0162711838,0.7551154498,0.8190170423
ABC Unweighted,NC,lib,1,1,135,,0.2129337539,0.0162711838,0.1809829577,0.2448845502
ABC Unweighted,NC,noideo,0,1,624,,0.9842271293,0.0049521557,0.9745028635,0.9939513952
ABC Unweighted,NC,noideo,1,1,10,,0.0157728707,0.0049521557,0.0060486048,0.0254971365
ABC Unweighted,NC,demparty,0,1,336,,0.5299684543,0.0198371723,0.4910153297,0.5689215788
ABC Unweighted,NC,demparty,1,1,298,,0.4700315457,0.0198371723,0.4310784212,0.5089846703
ABC Unweighted,PA,trumpind,0,1,452,,0.5628891656,0.0175152917,0.5285084517,0.5972698796
ABC Unweighted,PA,trumpind,1,1,351,,0.4371108344,0.0175152917,0.4027301204,0.4714915483
ABC Unweighted,PA,male,0,1,402,,0.500622665,0.0176554915,0.4659667533,0.5352785767
ABC Unweighted,PA,male,1,1,401,,0.499377335,0.0176554915,0.4647214233,0.5340332467
ABC Unweighted,PA,age1,0,1,762,,0.9489414695,0.0077725588,0.9336847371,0.9641982019
ABC Unweighted,PA,age1,1,1,41,,0.0510585305,0.0077725588,0.0358017981,0.0663152629
ABC Unweighted,PA,age2,0,1,775,,0.9651307597,0.0064777542,0.9524155952,0.9778459241
ABC Unweighted,PA,age2,1,1,28,,0.0348692403,0.0064777542,0.0221540759,0.0475844048
ABC Unweighted,PA,age3,0,1,694,,0.8642590286,0.0120944907,0.8405187889,0.8879992684
ABC Unweighted,PA,age3,1,1,109,,0.1357409714,0.0120944907,0.1120007316,0.1594812111
ABC Unweighted,PA,age4,0,1,700,,0.8717310087,0.0118076163,0.8485538738,0.8949081436
ABC Unweighted,PA,age4,1,1,103,,0.1282689913,0.0118076163,0.1050918564,0.1514461262
ABC Unweighted,PA,age5,0,1,572,,0.7123287671,0.0159844834,0.6809528723,0.7437046619
ABC Unweighted,PA,age5,1,1,231,,0.2876712329,0.0159844834,0.2562953381,0.3190471277
ABC Unweighted,PA,age6,0,1,512,,0.6376089664,0.0169736825,0.6042913755,0.6709265572
ABC Unweighted,PA,age6,1,1,291,,0.3623910336,0.0169736825,0.3290734428,0.3957086245
ABC Unweighted,PA,hsless,0,1,547,,0.6811955168,0.0164553925,0.6488952759,0.7134957577
ABC Unweighted,PA,hsless,1,1,256,,0.3188044832,0.0164553925,0.2865042423,0.3511047241
ABC Unweighted,PA,somecoll,0,1,598,,0.7447073474,0.0153965041,0.7144855954,0.7749290995
ABC Unweighted,PA,somecoll,1,1,205,,0.2552926526,0.0153965041,0.2250709005,0.2855144046
ABC Unweighted,PA,coll,0,1,596,,0.7422166874,0.0154455331,0.7118986965,0.7725346783
ABC Unweighted,PA,coll,1,1,207,,0.2577833126,0.0154455331,0.2274653217,0.2881013035
ABC Unweighted,PA,postcoll,0,1,671,,0.8356164384,0.0130870821,0.809927844,0.8613050327
ABC Unweighted,PA,postcoll,1,1,132,,0.1643835616,0.0130870821,0.1386949673,0.190072156
ABC Unweighted,PA,white,0,1,143,,0.1780821918,0.0135093541,0.1515647208,0.2045996628
ABC Unweighted,PA,white,1,1,660,,0.8219178082,0.0135093541,0.7954003372,0.8484352792
ABC Unweighted,PA,black,0,1,735,,0.9153175592,0.0098308875,0.8960205394,0.9346145789
ABC Unweighted,PA,black,1,1,68,,0.0846824408,0.0098308875,0.0653854211,0.1039794606
ABC Unweighted,PA,hisp,0,1,768,,0.9564134496,0.0072095678,0.9422618104,0.9705650888
ABC Unweighted,PA,hisp,1,1,35,,0.0435865504,0.0072095678,0.0294349112,0.0577381896
ABC Unweighted,PA,other,0,1,776,,0.9663760897,0.0063651309,0.9538819931,0.9788701862
ABC Unweighted,PA,other,1,1,27,,0.0336239103,0.0063651309,0.0211298138,0.0461180069
ABC Unweighted,PA,lib,0,1,640,,0.797011208,0.0142029445,0.7691322906,0.8248901254
ABC Unweighted,PA,lib,1,1,163,,0.202988792,0.0142029445,0.1751098746,0.2308677094
ABC Unweighted,PA,noideo,0,1,762,,0.9489414695,0.0077725588,0.9336847371,0.9641982019
ABC Unweighted,PA,noideo,1,1,41,,0.0510585305,0.0077725588,0.0358017981,0.0663152629
ABC Unweighted,PA,demparty,0,1,415,,0.5168119552,0.017645522,0.4821756126,0.5514482978
ABC Unweighted,PA,demparty,1,1,388,,0.4831880448,0.017645522,0.4485517022,0.5178243874
ABC Unweighted,WI,trumpind,0,1,507,,0.6130592503,0.0169465473,0.5797962974,0.6463222032
ABC Unweighted,WI,trumpind,1,1,320,,0.3869407497,0.0169465473,0.3536777968,0.4202037026
ABC Unweighted,WI,male,0,1,389,,0.4703748489,0.0173665726,0.4362874637,0.504462234
ABC Unweighted,WI,male,1,1,438,,0.5296251511,0.0173665726,0.495537766,0.5637125363
ABC Unweighted,WI,age1,0,1,778,,0.9407496977,0.0082146696,0.9246258135,0.9568735819
ABC Unweighted,WI,age1,1,1,49,,0.0592503023,0.0082146696,0.0431264181,0.0753741865
