state,weight,likely,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other
AK,544.7329,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
AK,561.2971,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,530.452,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,514.5797,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,624.8052,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
AK,467.4222,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,562.1044,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,538.5722,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,664.1082,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
AK,527.8994,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,552.9571,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
AK,530.1539,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AK,658.7658,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AK,697.7993,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
AK,577.8111,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,521.1403,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
AK,1046.3356,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AK,430.0343,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
AK,479.2364,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AK,778.0083,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
AK,563.9678,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,501.9867,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,589.8751,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,559.3022,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,588.2323,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,593.7115,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,710.3798,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,557.06,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,503.5664,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,519.5881,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
AK,583.0125,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,507.0904,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,525.0792,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
AK,480.5937,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,571.5093,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,463.465,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,465.9787,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,480.0499,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,1148.4208,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
